order_id,order_date,product_name,category,quantity,unit_price_inr,region,payment_mode
A-00001,2023-02-19,GoldTea Green Tea 100g,Beverages,10,379.55,North Zone,Cash
A-00002,2024-03-20,CrunchTime Biscuits 200g,Snacks,14,72.25,West Zone,Cash
A-00003,2023-08-17,Sunrich Cooking Oil 1L,Edible Oils,37,146.47,North Zone,Credit
A-00004,2023-05-28,CrunchTime Biscuits 200g,Snacks,9,289.06,North Zone,UPI
A-00005,2023-07-12,Sunrich Cooking Oil 5L,Edible Oils,38,531.24,East Zone,Cash
A-00006,2024-06-28,Sunrich Cooking Oil 1L,Edible Oils,40,217.12,West Zone,UPI
A-00007,2023-07-04,GoldTea Green Tea 100g,Beverages,20,253.65,South Zone,Cash
A-00008,2023-03-16,GoldTea Green Tea 100g,Beverages,47,426.0,North Zone,Credit
A-00009,2023-03-21,SoftCare Body Wash 250ml,Personal Care,27,73.72,East Zone,UPI
A-00010,2023-04-06,CrunchTime Chips 150g,Snacks,30,99.14,East Zone,Credit
A-00011,2024-04-01,PureBite Rice 5kg,Staples,45,306.26,East Zone,Credit
A-00012,2023-04-30,SoftCare Body Wash 250ml,Personal Care,23,184.52,West Zone,Cash
A-00013,2024-05-23,PureBite Rice 5kg,Staples,16,382.19,North Zone,Card
A-00014,2023-10-13,FreshWash Detergent Powder 1kg,Home Care,28,783.03,West Zone,UPI
A-00015,2023-06-04,FreshWash Dish Soap 500ml,Home Care,10,111.37,South Zone,Card
A-00016,2023-05-30,FreshWash Detergent Powder 1kg,Home Care,17,282.46,West Zone,UPI
A-00017,2023-02-25,FreshWash Detergent Powder 1kg,Home Care,45,778.91,West Zone,Credit
A-00018,2023-07-15,SoftCare Body Wash 250ml,Personal Care,41,384.38,North Zone,Card
A-00019,2023-06-04,CrunchTime Chips 150g,Snacks,4,128.05,North Zone,UPI
A-00020,2023-09-16,FreshWash Dish Soap 500ml,Home Care,40,363.56,East Zone,UPI
A-00021,2023-11-16,SoftCare Body Wash 250ml,Personal Care,30,453.14,North Zone,Card
A-00022,2023-06-15,GoldTea Premium 250g,Beverages,31,752.82,North Zone,Card
A-00023,2023-01-28,FreshWash Detergent Powder 1kg,Home Care,45,507.13,East Zone,Cash
A-00024,2023-08-17,GoldTea Green Tea 100g,Beverages,11,345.9,East Zone,Card
A-00025,2023-08-21,FreshWash Dish Soap 500ml,Home Care,16,743.77,South Zone,Credit
A-00026,2023-07-18,Sunrich Cooking Oil 1L,Edible Oils,18,446.13,East Zone,Credit
A-00027,2023-04-15,GoldTea Green Tea 100g,Beverages,24,109.26,South Zone,Credit
A-00028,2024-05-05,CrunchTime Chips 150g,Snacks,40,762.77,East Zone,Cash
A-00029,2024-05-04,SoftCare Shampoo 200ml,Personal Care,46,685.12,South Zone,Credit
A-00030,2023-03-28,PureBite Rice 5kg,Staples,26,438.32,South Zone,Card
A-00031,2023-05-30,CrunchTime Chips 150g,Snacks,30,733.59,West Zone,UPI
A-00032,2023-04-16,Sunrich Cooking Oil 1L,Edible Oils,1,727.45,South Zone,Credit
A-00033,2023-10-27,FreshWash Dish Soap 500ml,Home Care,2,256.58,South Zone,UPI
A-00034,2023-12-29,FreshWash Detergent Powder 1kg,Home Care,4,822.61,West Zone,Credit
A-00035,2024-06-06,FreshWash Detergent Powder 1kg,Home Care,35,170.58,North Zone,Credit
A-00036,2023-05-04,FreshWash Detergent Powder 1kg,Home Care,12,161.74,North Zone,UPI
A-00037,2023-02-28,SoftCare Body Wash 250ml,Personal Care,50,131.25,South Zone,Card
A-00038,2023-03-06,CrunchTime Biscuits 200g,Snacks,29,523.09,West Zone,UPI
A-00039,2024-04-08,CrunchTime Biscuits 200g,Snacks,13,635.75,West Zone,Card
A-00040,2023-07-27,GoldTea Premium 250g,Beverages,36,807.77,West Zone,Card
A-00041,2024-03-14,GoldTea Green Tea 100g,Beverages,5,617.19,North Zone,Card
A-00042,2024-01-10,FreshWash Detergent Powder 1kg,Home Care,46,593.37,South Zone,UPI
A-00043,2024-02-12,FreshWash Dish Soap 500ml,Home Care,48,859.15,West Zone,Card
A-00044,2024-06-11,FreshWash Detergent Powder 1kg,Home Care,46,411.11,West Zone,UPI
A-00045,2023-12-13,Sunrich Cooking Oil 5L,Edible Oils,47,354.72,West Zone,Credit
A-00046,2023-03-07,CrunchTime Biscuits 200g,Snacks,40,294.09,North Zone,Card
A-00047,2023-07-05,GoldTea Premium 250g,Beverages,18,74.05,East Zone,Card
A-00048,2024-06-11,PureBite Atta 5kg,Staples,17,389.12,West Zone,UPI
A-00049,2023-03-16,PureBite Rice 5kg,Staples,12,405.77,East Zone,Cash
A-00050,2023-03-10,Sunrich Cooking Oil 5L,Edible Oils,39,776.36,East Zone,Cash
