order_id,order_date,product_name,category,quantity,unit_price_inr,region,payment_mode,source_company,line_total_inr
B-01082,2023-01-01,Chai Bliss Green Tea 100 GM,Beverages,20,399.23,West Zone,Card,Company B,7984.6
B-00382,2023-01-01,VITA Sunflower Oil 5 Litre,Edible Oils,38,810.91,North Zone,Credit,Company B,30814.58
B-00069,2023-01-01,CleanPro Laundry Powder 1 KG,Home Care,50,130.31,South Zone,Card,Company B,6515.5
A-01498,2023-01-01,FreshWash Dish Soap 500ml,Home Care,38,404.54,South Zone,Credit,Company A,15372.52
A-00843,2023-01-01,Sunrich Cooking Oil 5L,Edible Oils,11,760.96,West Zone,Cash,Company A,8370.56
A-00699,2023-01-02,PureBite Atta 5kg,Staples,38,653.35,East Zone,Cash,Company A,24827.3
B-00408,2023-01-02,CleanPro Dishwash Liquid 500 ML,Home Care,22,74.7,North Zone,Cash,Company B,1643.4
A-00060,2023-01-02,GoldTea Premium 250g,Beverages,14,346.66,East Zone,Credit,Company A,4853.24
A-00149,2023-01-02,CrunchTime Chips 150g,Snacks,43,810.32,North Zone,Card,Company A,34843.76
B-00913,2023-01-02,CleanPro Laundry Powder 1 KG,Home Care,41,811.74,North Zone,UPI,Company B,33281.34
A-01179,2023-01-02,GoldTea Premium 250g,Beverages,7,767.12,East Zone,UPI,Company A,5369.84
A-00095,2023-01-02,SoftCare Shampoo 200ml,Personal Care,17,232.28,North Zone,UPI,Company A,3948.76
A-00648,2023-01-02,CrunchTime Biscuits 200g,Snacks,4,460.02,West Zone,Cash,Company A,1840.08
B-00247,2023-01-03,MunchBox Chips 150 GM,Snacks,2,597.6,North Zone,Credit,Company B,1195.2
A-01441,2023-01-03,CrunchTime Chips 150g,Snacks,4,734.87,East Zone,UPI,Company A,2939.48
A-00791,2023-01-03,FreshWash Dish Soap 500ml,Home Care,10,592.65,East Zone,Cash,Company A,5926.5
B-00655,2023-01-03,WholeGrain Atta 5 KG,Staples,50,614.2,West Zone,UPI,Company B,30710.0
A-00929,2023-01-03,PureBite Atta 5kg,Staples,50,507.29,West Zone,Card,Company A,25364.5
B-01163,2023-01-03,Chai Bliss Tea 250 GM,Beverages,45,190.07,North Zone,Card,Company B,8553.15
A-01492,2023-01-03,GoldTea Green Tea 100g,Beverages,22,820.76,South Zone,Cash,Company A,18056.72
A-00835,2023-01-03,PureBite Atta 5kg,Staples,39,277.84,West Zone,Card,Company A,10835.76
B-00123,2023-01-04,MunchBox Biscuits 200 GM,Snacks,19,849.92,East Zone,UPI,Company B,16148.48
B-00512,2023-01-04,CleanPro Laundry Powder 1 KG,Home Care,7,412.51,East Zone,UPI,Company B,2887.57
B-00878,2023-01-05,Chai Bliss Tea 250 GM,Beverages,11,804.27,East Zone,Cash,Company B,8846.97
B-00897,2023-01-05,VITA Sunflower Oil 1 Litre,Edible Oils,24,640.76,East Zone,Credit,Company B,15378.24
A-00657,2023-01-05,FreshWash Detergent Powder 1kg,Home Care,36,601.06,South Zone,UPI,Company A,21638.16
B-00531,2023-01-05,MunchBox Chips 150 GM,Snacks,25,418.32,East Zone,Card,Company B,10458.0
B-00965,2023-01-06,CleanPro Dishwash Liquid 500 ML,Home Care,48,240.7,South Zone,Card,Company B,11553.6
B-01020,2023-01-06,GlowUp Body Wash 250 ML,Personal Care,37,350.26,East Zone,Credit,Company B,12959.62
A-00061,2023-01-06,PureBite Atta 5kg,Staples,13,253.43,North Zone,UPI,Company A,3294.59
A-01024,2023-01-06,GoldTea Green Tea 100g,Beverages,48,394.42,South Zone,Card,Company A,18932.16
A-01256,2023-01-06,PureBite Atta 5kg,Staples,44,750.07,North Zone,Credit,Company A,33003.08
A-00976,2023-01-06,PureBite Atta 5kg,Staples,46,190.07,North Zone,UPI,Company A,8743.22
A-00413,2023-01-06,SoftCare Shampoo 200ml,Personal Care,27,731.23,South Zone,UPI,Company A,19743.21
B-00636,2023-01-06,Chai Bliss Green Tea 100 GM,Beverages,42,534.52,East Zone,Card,Company B,22449.84
A-00159,2023-01-07,PureBite Rice 5kg,Staples,31,655.24,West Zone,Credit,Company A,20312.44
A-00849,2023-01-07,Sunrich Cooking Oil 5L,Edible Oils,13,709.43,East Zone,UPI,Company A,9222.59
A-00851,2023-01-07,FreshWash Detergent Powder 1kg,Home Care,11,218.34,North Zone,Credit,Company A,2401.74
A-00208,2023-01-07,FreshWash Dish Soap 500ml,Home Care,32,181.57,South Zone,UPI,Company A,5810.24
A-00292,2023-01-07,CrunchTime Chips 150g,Snacks,25,597.45,West Zone,Credit,Company A,14936.25
B-00527,2023-01-08,VITA Sunflower Oil 1 Litre,Edible Oils,27,832.49,South Zone,Cash,Company B,22477.23
B-00194,2023-01-08,VITA Sunflower Oil 1 Litre,Edible Oils,20,84.66,South Zone,Card,Company B,1693.2
B-01092,2023-01-09,GlowUp Shampoo 200 ML,Personal Care,31,278.88,West Zone,Card,Company B,8645.28
B-00285,2023-01-09,MunchBox Chips 150 GM,Snacks,35,146.08,West Zone,UPI,Company B,5112.8
A-00784,2023-01-09,SoftCare Shampoo 200ml,Personal Care,8,688.75,North Zone,UPI,Company A,5510.0
B-00077,2023-01-09,WholeGrain Rice 5 KG,Staples,39,44.82,South Zone,Credit,Company B,1747.98
